eth_address,amended_address,dot_balance,polkadot_address
0x0036C76ec47DFC17A96B1a68893BF269e1C2875b,undefined,9176000000000,12sUPdNtPSbL4Td1zoTadVBarJzUemwXmiVje6CTjq1Qugy8
0x00BdC59bC934360468B13b8a94bAD99871DF53AE,undefined,142124000000000,169yznAaSLYiEjEFWpC7Ao6xJVBSV9r7cz9G688h48EcVX6L
0x002a6B8504B4aA93BF79F1c8Bff1Fed68C591380,undefined,5276000000000,
0x00cf14cB2A1582112F352b2853400b532891E6EB,undefined,229358000000000,14cxtQFxnMAY4Sk8ciqEMfLS9QUgjubMdYQZiKZ75kiXWFUm
0x855F896FE935353955324Fb1609165ec9372D473,undefined,110627000000000,
0x42D75f75D1AAf59304642Bd7530E5de5A42d8FBa,undefined,19783000000000,
0x00a22FbD442E50f1cD5ce576CA9a6D917E1481C7,undefined,80933000000000,15PxaJEdE71pA2p58osiY8ex9fQGiLbCZqUFXydBs3qdHcjk
0x00e499dDE041fDfD3cF0251a08b7bA8582088870,undefined,23123000000000,
0x3cd0266a7D638588E79fa9B471fB4C2D6072E4d9,undefined,99538000000000,
0x00541ab0A813fDa7012BABe7b3378441432F48e1,undefined,1101324000000000,
0x11BC2c7eA454e083cEA1186239aBc83733200E78,undefined,306464000000000,14aVp8yhWK2emdxbMP9U5rW2CZj3AuxhoAYQSkTNwXNCsQ1N
0x56FeeA6b7563f20C2d2dBba65AFe424fA39E68B5,undefined,11103000000000,
0x1fC2d658b3346975cc5bd586Efd5E7c26db8C98d,undefined,22802000000000,
0x00fC43F8E2E61130EEEE24B8f1D5fa9E80dcdd4f,undefined,557177000000000,
0x00671FA9ddc406391fd5d60AA885F6D10d9f0C9a,undefined,307034000000000,
0x00D102007852Fb6304637ad44457b9bf42be382b,undefined,4588132000000000,15XJW1UNsegWNWvHrQ9GvXB3qHKnu7mvtTUTVZHjehRv8VDm
0x2A57844F09543679D27A8F5cE1B6bF81bc14F021,undefined,275285000000000,
0x000FA37652Ab02D5da570506aa4f0625102f91e8,undefined,36704000000000,
0x1BD8808429c6F5C520232FAfa9dFe1ea760c5BF8,undefined,917000000000,
0x1749ad951Fb612b42dc105944dA86C362a783487,undefined,10811826000000000,
0xA0D73De5DF565717A3994Af5cB75455d8674B46c,undefined,9176000000000,
